타임스탬프,1. 현재 몇 학년인가요? ,2. 성별은 무엇인가요? ,3. 한 달 평균 용돈은 얼마인가요? ,4. 하루 평균 SNS 사용 시간은 얼마나 되나요? ,5. 최근 한 달 동안 온라인 쇼핑을 몇 번 정도 이용하였나요?  ,6. 물건을 구매할 때 가장 중요하게 생각하는 요소는 무엇인가요?  ,7.  충동적으로 물건을 구매한 경험이 얼마나 있나요?  ,8.  SNS 광고를 보고 실제로 상품을 구매한 경험이 있나요?  ,9. 유명 브랜드 제품을 더 신뢰하는 편인가요?  ,10. 친구의 추천은 구매 결정에 영향을 주나요?  ,11.  할인 행사가 진행 중인 상품은 더 매력적으로 느껴지나요?  ,12. 할인율이 높을수록 구매 의사가 증가하나요? ,"13. 다음 상품을 구매할 의향이 어느 정도 있나요? 
무선 이어폰 (30,000원)","14. 다음 상품을 구매할 의향이 어느 정도 있나요? 
무선 이어폰
정가 50,000원 → 할인 후 30,000원","15. ""재고 3개 남음""이라는 문구를 보면 구매 욕구가 증가하나요?","16. ""오늘 마감""이라는 문구를 보면 구매 욕구가 증가하나요? ","17. ""한정판"" 또는 ""한정 수량""이라는 문구를 보면 관심이 증가하나요? ",18. 물건을 구매하기 전에 여러 쇼핑몰의 가격을 비교하는 편인가요? ,19. 할인 정보를 자주 찾아보는 편인가요? ,20. 유명 브랜드 제품을 선호하는 편인가요? ,21. 브랜드 이미지를 중요하게 생각하나요? ,22. SNS에서 유행하는 제품에 관심이 많은 편인가요? ,23. 친구들이 사용하는 제품을 따라 구매한 경험이 있나요? ,24. 물건을 구매하기 전에 꼭 필요한 물건인지 생각하나요? ,25. 예산을 정해 놓고 소비하는 편인가요? ,27. 최근 가장 사고 싶은 물건은 무엇인가요?,28. 그 물건을 사고 싶은 가장 큰 이유는 무엇인가요?  ,26. 본인은 어떤 소비 유형에 가장 가깝다고 생각하나요? 
2026. 7. 20 오후 3:30:28,1학년,여자,20만원 이상,4시간 이상,1~2회,가격,가끔 있다,6회 이상,그렇다,전혀 그렇지 않다,그렇다,그렇다,매우 낮음,매우 높음,보통이다,매우 그렇다,그렇다,그렇지 않다,전혀 그렇지 않다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,전혀 그렇지 않다,오토바이,아빠와 같이 타기 위해서 (일베아님),유행추종형 소비자
2026. 7. 20 오후 3:38:05,1학년,여자,10~15만원,3~4시간,0회,후기 및 평점,전혀 없다,1~2회,그렇지 않다,그렇다,매우 그렇다,매우 그렇다,매우 낮음,매우 낮음,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,매우 그렇다,매우 그렇다,반바지,현재 꼭 필요한 물건이기 때문에,계획형 소비자
2026. 7. 20 오후 3:42:44,1학년,여자,5~10만원,4시간 이상,3~5회,디자인,자주 있다,1~2회,보통이다,보통이다,그렇다,그렇다,높음,높음,보통이다,보통이다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,이누마키 룩업,디자인이 마음에 들어서,잘 모르겠다
2026. 7. 20 오후 3:48:47,1학년,여자,20만원 이상,2~3시간,0회,후기 및 평점,가끔 있다,없다,보통이다,그렇다,그렇다,보통이다,높음,높음,그렇지 않다,그렇지 않다,그렇지 않다,그렇다,매우 그렇다,보통이다,그렇지 않다,그렇다,그렇지 않다,그렇지 않다,그렇지 않다,책,친구나 주변 사람들의 영향을 받아서,가격중심 소비자
2026. 7. 20 오후 3:56:03,1학년,여자,10~15만원,4시간 이상,3~5회,디자인,가끔 있다,3~5회,그렇다,그렇다,그렇다,그렇다,높음,높음,그렇다,그렇다,그렇다,그렇다,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,그렇다,,,가격중심 소비자
2026. 7. 20 오후 3:56:37,1학년,여자,20만원 이상,3~4시간,3~5회,후기 및 평점,가끔 있다,1~2회,보통이다,그렇다,그렇다,매우 그렇다,보통,높음,그렇지 않다,보통이다,보통이다,매우 그렇다,매우 그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,그렇지 않다,옷,,유행추종형 소비자
2026. 7. 20 오후 4:41:16,1학년,여자,5~10만원,2~3시간,3~5회,품질,가끔 있다,1~2회,그렇다,보통이다,매우 그렇다,그렇다,보통,보통,그렇지 않다,보통이다,그렇다,그렇다,그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,엄청 큰 최신 태블릿 (펜슬이 있는),그림을 그리고 큰 화면이 좋아서,가격중심 소비자
2026. 7. 20 오후 4:52:57,1학년,여자,5~10만원,1~2시간,1~2회,후기 및 평점,거의 없다,없다,보통이다,그렇다,그렇다,보통이다,낮음,높음,그렇지 않다,그렇지 않다,그렇다,그렇다,그렇지 않다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,그렇지 않다,,,가격중심 소비자
2026. 7. 20 오후 5:13:28,1학년,여자,5~10만원,1~2시간,1~2회,품질,가끔 있다,없다,그렇다,그렇다,그렇다,그렇다,매우 낮음,낮음,그렇다,그렇다,그렇다,매우 그렇다,그렇지 않다,그렇다,그렇다,그렇지 않다,그렇다,보통이다,그렇지 않다,보조배터리,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 20 오후 6:00:44,1학년,여자,5~10만원,3~4시간,1~2회,품질,가끔 있다,1~2회,보통이다,그렇다,그렇다,그렇다,보통,높음,그렇지 않다,그렇지 않다,그렇지 않다,매우 그렇다,매우 그렇다,보통이다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,바람막이,현재 꼭 필요한 물건이기 때문에,브랜드중심 소비자
2026. 7. 20 오후 7:46:02,1학년,여자,,4시간 이상,3~5회,가격,가끔 있다,3~5회,보통이다,그렇다,매우 그렇다,매우 그렇다,매우 낮음,높음,그렇다,그렇다,그렇다,매우 그렇다,그렇지 않다,그렇다,그렇다,보통이다,그렇지 않다,그렇지 않다,그렇지 않다,말랑이,SNS·유튜브 등에서 자주 접했기 때문에,유행추종형 소비자
2026. 7. 20 오후 11:54:17,2학년,여자,15~20만원,3~4시간,3~5회,품질,가끔 있다,없다,보통이다,보통이다,그렇다,그렇다,높음,매우 높음,보통이다,전혀 그렇지 않다,보통이다,그렇다,그렇지 않다,그렇다,그렇다,그렇지 않다,그렇지 않다,보통이다,그렇다,,사고싶어서,잘 모르겠다
2026. 7. 22 오전 9:28:35,2학년,여자,10~15만원,2~3시간,3~5회,후기 및 평점,가끔 있다,없다,보통이다,보통이다,보통이다,그렇다,낮음,보통,그렇다,그렇지 않다,그렇다,매우 그렇다,그렇지 않다,보통이다,그렇다,그렇지 않다,보통이다,그렇다,전혀 그렇지 않다,연준 앨범,품질이 좋아 보이기 때문에,잘 모르겠다
2026. 7. 22 오전 9:32:30,2학년,여자,10~15만원,3~4시간,1~2회,가격,가끔 있다,없다,그렇다,보통이다,그렇다,보통이다,보통,보통,전혀 그렇지 않다,전혀 그렇지 않다,그렇지 않다,그렇다,전혀 그렇지 않다,그렇다,그렇다,그렇지 않다,보통이다,그렇다,전혀 그렇지 않다,,,잘 모르겠다
2026. 7. 22 오전 9:33:26,2학년,여자,10~15만원,1~2시간,1~2회,디자인,자주 있다,1~2회,보통이다,보통이다,그렇다,그렇다,높음,높음,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,그렇지 않다,그렇다,보통이다,지갑,디자인이 마음에 들어서,잘 모르겠다
2026. 7. 22 오전 9:33:59,2학년,여자,5~10만원,4시간 이상,1~2회,품질,자주 있다,1~2회,그렇다,그렇다,매우 그렇다,그렇다,보통,보통,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,귀여운 담요,디자인이 마음에 들어서,가격중심 소비자
2026. 7. 22 오전 9:34:11,2학년,여자,5만원 미만,3~4시간,1~2회,후기 및 평점,가끔 있다,1~2회,그렇다,그렇지 않다,매우 그렇다,매우 그렇다,보통,보통,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇지 않다,그렇다,보통이다,거울,현재 꼭 필요한 물건이기 때문에,계획형 소비자
2026. 7. 22 오전 9:36:09,2학년,여자,5~10만원,3~4시간,0회,가격,거의 없다,1~2회,보통이다,보통이다,그렇다,그렇다,보통,높음,보통이다,그렇지 않다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,그렇다,매우 그렇다,그렇다,머리핀,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 22 오전 9:37:08,2학년,여자,10~15만원,4시간 이상,1~2회,후기 및 평점,매우 자주 있다,없다,그렇다,그렇다,그렇다,그렇다,높음,매우 높음,그렇다,그렇다,보통이다,보통이다,그렇지 않다,그렇다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,옷,유명 브랜드 제품이기 때문에,브랜드중심 소비자
2026. 7. 22 오전 9:37:33,2학년,여자,5만원 미만,1~2시간,1~2회,품질,가끔 있다,없다,그렇다,그렇다,보통이다,그렇지 않다,매우 낮음,매우 낮음,그렇지 않다,그렇지 않다,그렇지 않다,그렇다,그렇지 않다,그렇다,그렇다,전혀 그렇지 않다,그렇지 않다,그렇다,그렇다,키세스 초콜릿,맛있어서,잘 모르겠다
2026. 7. 22 오전 9:39:29,2학년,여자,5~10만원,2~3시간,1~2회,가격,가끔 있다,없다,그렇다,그렇다,그렇다,그렇다,높음,매우 높음,보통이다,보통이다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,매우 그렇다,보통이다,"하이라이터(화장품,, ㅎ) +선풍기!",현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 22 오전 9:44:13,2학년,여자,5~10만원,4시간 이상,0회,품질,거의 없다,없다,그렇다,보통이다,그렇지 않다,보통이다,낮음,낮음,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,그렇다,그렇지 않다,그렇다,그렇다,전혀 그렇지 않다,보통이다,매우 그렇다,매우 그렇다,왁뿌볼,친구나 주변 사람들의 영향을 받아서,계획형 소비자
2026. 7. 22 오전 9:50:49,1학년,여자,5~10만원,3~4시간,3~5회,디자인,매우 자주 있다,없다,그렇지 않다,전혀 그렇지 않다,매우 그렇다,그렇다,낮음,보통,그렇다,전혀 그렇지 않다,매우 그렇다,매우 그렇다,매우 그렇다,그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,,디자인이 마음에 들어서,잘 모르겠다
2026. 7. 22 오전 9:56:33,2학년,여자,5~10만원,2~3시간,0회,품질,거의 없다,없다,그렇다,그렇지 않다,그렇다,보통이다,낮음,높음,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,그렇다,보통이다,그렇다,그렇다,그렇지 않다,보통이다,매우 그렇다,그렇지 않다,에어팟,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 22 오전 10:09:43,2학년,여자,5~10만원,1~2시간,1~2회,후기 및 평점,가끔 있다,없다,보통이다,보통이다,그렇지 않다,그렇지 않다,매우 낮음,매우 낮음,보통이다,보통이다,전혀 그렇지 않다,매우 그렇다,그렇다,보통이다,그렇다,보통이다,보통이다,그렇다,그렇지 않다,시계,그냥 꽂혀서,잘 모르겠다
2026. 7. 22 오전 10:10:09,2학년,여자,10~15만원,3~4시간,3~5회,후기 및 평점,매우 자주 있다,없다,그렇다,그렇다,매우 그렇다,매우 그렇다,보통,매우 높음,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,가방 ,현재 꼭 필요한 물건이기 때문에,계획형 소비자
2026. 7. 22 오전 10:10:21,2학년,여자,15~20만원,2~3시간,3~5회,가격,자주 있다,1~2회,그렇다,보통이다,그렇다,매우 그렇다,매우 낮음,낮음,전혀 그렇지 않다,보통이다,전혀 그렇지 않다,그렇다,그렇다,보통이다,보통이다,보통이다,그렇다,그렇다,보통이다,말랑이?,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 22 오전 10:12:05,2학년,여자,5만원 미만,3~4시간,3~5회,가격,거의 없다,없다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 낮음,낮음,그렇지 않다,그렇지 않다,그렇다,매우 그렇다,그렇지 않다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,전혀 그렇지 않다,,,계획형 소비자
2026. 7. 22 오전 10:19:30,2학년,여자,5~10만원,1~2시간,1~2회,품질,가끔 있다,없다,그렇다,그렇다,그렇다,그렇다,보통,높음,그렇다,그렇지 않다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,전혀 그렇지 않다,그렇다,그렇다,그렇지 않다,,,브랜드중심 소비자
2026. 7. 22 오전 10:34:48,2학년,여자,10~15만원,2~3시간,0회,가격,거의 없다,1~2회,보통이다,보통이다,그렇다,보통이다,낮음,보통,보통이다,그렇지 않다,그렇다,그렇다,그렇지 않다,보통이다,그렇다,보통이다,보통이다,그렇다,보통이다,백팩,현재 꼭 필요한 물건이기 때문에,잘 모르겠다
2026. 7. 22 오후 1:18:34,2학년,여자,5만원 미만,1~2시간,0회,품질,거의 없다,1~2회,그렇다,매우 그렇다,그렇다,그렇다,낮음,낮음,그렇다,그렇다,그렇다,그렇다,그렇지 않다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇지 않다,,,유행추종형 소비자
2026. 7. 22 오후 1:26:31,2학년,여자,5~10만원,4시간 이상,1~2회,후기 및 평점,거의 없다,1~2회,그렇다,그렇다,그렇다,그렇다,보통,높음,그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,그렇다,보통이다,보통이다,그렇다,보통이다,손선풍기,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 22 오후 4:42:29,2학년,여자,5만원 미만,1시간 미만,1~2회,디자인,거의 없다,없다,보통이다,그렇다,보통이다,그렇다,낮음,낮음,그렇지 않다,그렇지 않다,그렇지 않다,그렇다,보통이다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,보통이다,그렇다,그렇지 않다,조명,현재 꼭 필요한 물건이기 때문에,계획형 소비자
2026. 7. 22 오후 9:35:25,3학년,여자,15~20만원,3~4시간,6~10회,품질,자주 있다,3~5회,그렇다,그렇다,그렇다,매우 그렇다,낮음,높음,그렇다,그렇다,그렇다,그렇지 않다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,보통이다,,유명 브랜드 제품이기 때문에,브랜드중심 소비자
2026. 7. 22 오후 10:40:33,3학년,남자,5~10만원,2~3시간,0회,가격,가끔 있다,없다,그렇다,그렇다,그렇다,그렇다,보통,높음,전혀 그렇지 않다,전혀 그렇지 않다,그렇다,보통이다,보통이다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,보통이다,게임 검,품질이 좋아 보이기 때문에,가격중심 소비자
2026. 7. 22 오후 11:43:22,3학년,남자,5~10만원,3~4시간,1~2회,디자인,거의 없다,없다,그렇다,그렇다,매우 그렇다,매우 그렇다,보통,높음,그렇지 않다,전혀 그렇지 않다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇지 않다,그렇다,매우 그렇다,그렇다,필통,현재 꼭 필요한 물건이기 때문에,가격중심 소비자
2026. 7. 22 오후 11:48:39,2학년,여자,5만원 미만,1~2시간,0회,품질,가끔 있다,없다,보통이다,그렇지 않다,매우 그렇다,그렇다,높음,높음,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,매우 그렇다,매우 그렇다,그렇지 않다,보통이다,그렇지 않다,전혀 그렇지 않다,그렇다,그렇다,말랑이,스트레스 풀기용,가격중심 소비자
2026. 7. 23 오전 12:16:14,1학년,여자,20만원 이상,4시간 이상,6~10회,디자인,자주 있다,3~5회,그렇다,보통이다,보통이다,그렇다,낮음,낮음,그렇지 않다,보통이다,그렇지 않다,그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,보통이다,그렇지 않다,옷,현재 꼭 필요한 물건이기 때문에,잘 모르겠다
2026. 7. 23 오전 10:03:27,3학년,남자,5~10만원,1시간 미만,1~2회,품질,거의 없다,없다,그렇다,보통이다,보통이다,보통이다,낮음,보통,보통이다,그렇지 않다,그렇다,그렇다,보통이다,그렇다,그렇다,보통이다,보통이다,보통이다,보통이다,옷,새로운 스타일을 원하기 때문에,계획형 소비자
